Symbol,Records,Start Date,End Date,Data Quality
BEL,2627,2015-01-01,2025-08-21,51.9%
M&M,2627,2015-01-01,2025-08-21,51.9%
SUNPHARMA,2627,2015-01-01,2025-08-21,51.9%
ETERNAL,94,2025-04-07,2025-08-21,48.1%
TITAN,2627,2015-01-01,2025-08-21,51.9%
TRENT,2627,2015-01-01,2025-08-21,51.9%
MARUTI,2627,2015-01-01,2025-08-21,51.9%
APOLLOHOSP,2627,2015-01-01,2025-08-21,51.9%
BAJFINANCE,2627,2015-01-01,2025-08-21,55.6%
CIPLA,2627,2015-01-01,2025-08-21,51.9%
JIOFIN,491,2023-08-21,2025-08-21,51.9%
INDUSINDBK,2627,2015-01-01,2025-08-21,48.1%
DRREDDY,2627,2015-01-01,2025-08-21,55.6%
WIPRO,2627,2015-01-01,2025-08-21,55.6%
INFY,2627,2015-01-01,2025-08-21,55.6%
BHARTIARTL,2627,2015-01-01,2025-08-21,55.6%
HINDALCO,2627,2015-01-01,2025-08-21,55.6%
LT,2627,2015-01-01,2025-08-21,51.9%
ONGC,2627,2015-01-01,2025-08-21,51.9%
TATACONSUM,2627,2015-01-01,2025-08-21,51.9%
EICHERMOT,2627,2015-01-01,2025-08-21,51.9%
SBIN,2627,2015-01-01,2025-08-21,51.9%
BAJAJ-AUTO,2627,2015-01-01,2025-08-21,51.9%
NTPC,2627,2015-01-01,2025-08-21,51.9%
SHRIRAMFIN,2627,2015-01-01,2025-08-21,55.6%
BAJAJFINSV,2627,2015-01-01,2025-08-21,55.6%
AXISBANK,2627,2015-01-01,2025-08-21,51.9%
HINDUNILVR,2627,2015-01-01,2025-08-21,51.9%
SBILIFE,1949,2017-10-03,2025-08-21,51.9%
TECHM,2627,2015-01-01,2025-08-21,51.9%
HDFCLIFE,1917,2017-11-17,2025-08-21,55.6%
RELIANCE,2627,2015-01-01,2025-08-21,51.9%
TATAMOTORS,2627,2015-01-01,2025-08-21,51.9%
ICICIBANK,2627,2015-01-01,2025-08-21,51.9%
POWERGRID,2627,2015-01-01,2025-08-21,51.9%
TATASTEEL,2627,2015-01-01,2025-08-21,51.9%
COALINDIA,2627,2015-01-01,2025-08-21,51.9%
TCS,2627,2015-01-01,2025-08-21,55.6%
NESTLEIND,2627,2015-01-01,2025-08-21,51.9%
HDFCBANK,2627,2015-01-01,2025-08-21,51.9%
KOTAKBANK,2627,2015-01-01,2025-08-21,51.9%
ADANIPORTS,2627,2015-01-01,2025-08-21,51.9%
HCLTECH,2627,2015-01-01,2025-08-21,55.6%
ITC,2627,2015-01-01,2025-08-21,51.9%
ADANIENT,2627,2015-01-01,2025-08-21,55.6%
ULTRACEMCO,2627,2015-01-01,2025-08-21,51.9%
JSWSTEEL,2627,2015-01-01,2025-08-21,51.9%
HEROMOTOCO,2627,2015-01-01,2025-08-21,51.9%
ASIANPAINT,2627,2015-01-01,2025-08-21,51.9%
GRASIM,2627,2015-01-01,2025-08-21,51.9%
